============================================================
initialize: Rawan four motion plugin loaded
version: 3.5.4-demo-tuning-switch
mode: auto-cycle demo
design: demo/tuning switch; separate upper/lower functions per state
hip policy: rightHip always skipped/native; normal addJointDeg skips hips; Walk uses tiny safe leftHip only
walk tune: gait-style two-pulse FK cycle; stronger knee/ankle lift + opposite arm swing
tuning note: set kAutoCycleDemoMode=false in RawanFourMotionPlugin.cpp to isolate selected animations
log path: D:\N8RO_2\userPlugins\sim\rawan-four-motion-plugin.log
model plugin service found: yes
animation prototype found: animationModelNathanHuman
register Rawan Idle: yes
register Rawan Walk: yes
register Rawan Push: yes
register Rawan Climb: yes
tick: plugin is active
auto-cycle start time captured: 0.050000
evaluate requested=Rawan Idle visibleState=Rawan Idle t=0.050000 local=0.000000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Idle t=1.000000 local=0.950000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Idle t=2.000000 local=1.950000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Idle t=3.050000 local=3.000000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Idle t=4.050000 local=4.000000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Idle t=5.050000 local=5.000000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Walk t=5.100000 local=0.050000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Walk t=6.050000 local=1.000000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Walk t=7.050000 local=2.000000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Walk t=8.050000 local=3.000000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Walk t=9.050000 local=4.000000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Walk t=10.000000 local=4.950000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Push t=10.050000 local=0.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Push t=11.000000 local=0.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Push t=12.000000 local=1.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Push t=13.000000 local=2.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Push t=14.000000 local=3.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Push t=15.000000 local=4.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=15.050000 local=0.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=16.000000 local=0.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=17.000000 local=1.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=18.000000 local=2.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=19.000000 local=3.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=20.000000 local=4.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Idle t=20.050000 local=0.000000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Idle t=21.000000 local=0.950000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Idle t=22.000000 local=1.950000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Idle t=23.000000 local=2.950000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Idle t=24.000000 local=3.950000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Idle t=25.000000 local=4.950000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Walk t=25.050000 local=0.000000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Walk t=26.000000 local=0.950000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Walk t=27.000000 local=1.950000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Walk t=28.000000 local=2.950000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Walk t=29.000000 local=3.950000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Walk t=30.000000 local=4.950000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Push t=30.050000 local=0.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Push t=31.000000 local=0.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Push t=32.000000 local=1.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Push t=33.000000 local=2.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Push t=34.000000 local=3.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Push t=35.000000 local=4.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=35.050000 local=0.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=36.000000 local=0.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=37.000000 local=1.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=38.050000 local=3.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=39.050000 local=4.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=40.050000 local=5.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Idle t=40.100000 local=0.050000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Idle t=41.050000 local=1.000000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Idle t=42.050000 local=2.000000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Idle t=43.050000 local=3.000000 jointOverrides=4
